minute_ts,datetime_utc,open,high,low,close,volume_usdc,volume_jto,trades
1789161120,2026-09-11T21:12:00.000Z,0.430042095807541,0.4304419460273077,0.430042095807541,0.4303752453309762,20.492972999811172,47.61923938700056,7
1789161180,2026-09-11T21:13:00.000Z,0.4316754516430585,0.4316754516430585,0.3887341813199402,0.431007157416599,499.9650439999442,1161.9051833289975,3
1789161240,2026-09-11T21:14:00.000Z,0.4295265475701092,0.429528578797555,0.4295265475701092,0.429528578797555,37.87409299999854,88.17636663799931,2
1789161300,2026-09-11T21:15:00.000Z,0.43026948650443897,0.43026948650443897,0.43026948650443897,0.43026948650443897,0.5224890001118183,1.2143296619906323,1
1789161360,2026-09-11T21:16:00.000Z,0.4305662718588526,0.4305662718588526,0.4305662718588526,0.4305662718588526,18.27631499990821,42.447158996001235,1
1789161420,2026-09-11T21:17:00.000Z,0.4316642242166215,0.4316642242166215,0.4316642242166215,0.4316642242166215,59.48670299999867,137.80781371899502,1
1789161480,2026-09-11T21:18:00.000Z,0.43188896232095375,0.43188896232095375,0.43188896232095375,0.43188896232095375,0.16145200000028126,0.3738275670039002,1
1789161540,2026-09-11T21:19:00.000Z,0.43055753661151436,0.43055753661151436,0.43051694790239114,0.43051694790239114,81.14777300041169,188.48843986200518,2
1789161660,2026-09-11T21:21:00.000Z,0.431178947564628,0.431178947564628,0.4294361135687482,0.4294361135687482,3.4049670003723804,7.901629682996159,2
1789161720,2026-09-11T21:22:00.000Z,0.4329877200587454,0.4354540979676916,0.4307564398703803,0.4354540979676916,469.4538210015211,1084.0157418040014,20
1789161840,2026-09-11T21:24:00.000Z,0.4306069207199341,0.4306069207199341,0.4295489479156452,0.4295489479156452,204.5628449998385,475.45958871301264,2
1789161960,2026-09-11T21:26:00.000Z,0.4295507462335517,0.43018966706695905,0.4295507462335517,0.43018966706695905,76.74387300013404,178.57942607800214,2
1789162020,2026-09-11T21:27:00.000Z,0.43007091971667655,0.43007091971667655,0.429696027887795,0.429696027887795,126.40267600072548,293.9146837080043,4
1789162080,2026-09-11T21:28:00.000Z,0.4296756992973199,0.4296756992973199,0.4296176344859414,0.4296176344859414,0.6728539997711778,1.5659683319972828,2
1789162140,2026-09-11T21:29:00.000Z,0.4294640408541649,0.4294640408541649,0.4294640408541649,0.4294640408541649,10.28179799998179,23.940998598001897,1
1789162200,2026-09-11T21:30:00.000Z,0.42952850995517433,0.42952850995517433,0.4290193548403038,0.4290193548403038,4.717827999206747,10.990244892982446,4
1789162260,2026-09-11T21:31:00.000Z,0.43048922843493287,0.43048922843493287,0.43048922843493287,0.43048922843493287,280.7509519997984,652.1671936380008,1
1789162380,2026-09-11T21:33:00.000Z,0.4973582677103499,0.4973582677103499,0.428522726404993,0.4289996453701066,439.37152200002583,960.9613743580048,3
1789162560,2026-09-11T21:36:00.000Z,0.43254420155007045,0.43254420155007045,0.43254420155007045,0.43254420155007045,0.07234400045126677,0.16725227200367954,1
1789162620,2026-09-11T21:37:00.000Z,0.43078695692773483,0.43078695692773483,0.4302684026890626,0.430268402715308,133.50287800002843,309.9052171169751,3
1789162680,2026-09-11T21:38:00.000Z,0.4316640208169475,0.43166403348634264,0.43164862147477734,0.43164862147477734,257.2347689999333,595.9253117730113,3
1789162740,2026-09-11T21:39:00.000Z,0.4317899205285607,0.4317899205285607,0.43100165629080206,0.43100165629080206,134.75403899978846,312.08771021300345,3
1789162800,2026-09-11T21:40:00.000Z,0.43071349430791817,0.43074734077800136,0.4307133519661211,0.43074734077800136,8.656710000243038,20.09779597200395,5
1789162920,2026-09-11T21:42:00.000Z,0.4234339738771134,0.4234339738771134,0.4234339738771134,0.4234339738771134,5.893852,13.919175983999999,1
1789162980,2026-09-11T21:43:00.000Z,0.4303559578235429,0.4317352251217269,0.4303559578235429,0.4317352251217269,36.50410499977124,84.80837625699496,3
1789163040,2026-09-11T21:44:00.000Z,0.4090607445876943,0.43130525218130283,0.4090607445876943,0.43130525218130283,79.83381200027941,185.7150547489959,3
1789163100,2026-09-11T21:45:00.000Z,0.42220327207858943,0.4295298697939455,0.42220327207858943,0.42952973303099934,26.011821999999814,60.79163628799948,4
1789163160,2026-09-11T21:46:00.000Z,0.42955134950586393,0.42975145582725816,0.4284546908315524,0.42975145582725816,297.79084299965325,693.9620739129969,6
1789163220,2026-09-11T21:47:00.000Z,0.42846789068745184,0.42846789068745184,0.42846789068745184,0.42846789068745184,4.815872000064701,11.239750060005463,1
1789163340,2026-09-11T21:49:00.000Z,0.4274076828428564,0.42846602171565645,0.4263396194379819,0.42695319873863585,286.5507749984299,671.2292871760073,16
1789163400,2026-09-11T21:50:00.000Z,0.42672723276289937,0.42673790130143846,0.426677239663523,0.42668652987591615,10.260923999827355,24.046617658998002,6
1789163460,2026-09-11T21:51:00.000Z,0.6490712429809236,0.6490712429809236,0.4268836242231003,0.4268836242231003,1368.2763519990438,2396.264712337003,12
1789163520,2026-09-11T21:52:00.000Z,0.4263243343343289,0.4276293217729752,0.4252571271271191,0.42532067066778834,340.2025229995554,798.9653132320071,12
1789163580,2026-09-11T21:53:00.000Z,0.42501692942735847,0.4387048596022077,0.4237570070060278,0.4387048596022077,152.5539719998077,358.95082328600967,17
1789163640,2026-09-11T21:54:00.000Z,0.4245452052056493,0.42514975916568093,0.4245452052056493,0.42485261260918744,128.4910239995828,302.57096952001166,4
