minute_ts,datetime_utc,usdc_reserve,token_reserve,mid_price_usdc,depth_usdc_tvl,fee_bps,buy_50k_bps_approx,max_size_at_50bps_approx
1789161180,2026-09-11T21:13:00.000Z,2659.018734,9469.9889836,0.2807837198760055,5318.037468,30,188039.2919412955,12.853655012988284
1789161240,2026-09-11T21:14:00.000Z,2659.018734,9469.9889836,0.2807837198760055,5318.037468,30,188039.2919412955,12.853655012988284
1789161300,2026-09-11T21:15:00.000Z,2659.018734,9469.9889836,0.2807837198760055,5318.037468,30,188039.2919412955,12.853655012988284
1789161360,2026-09-11T21:16:00.000Z,2659.018734,9469.9889836,0.2807837198760055,5318.037468,30,188039.2919412955,12.853655012988284
1789161420,2026-09-11T21:17:00.000Z,2659.018734,9469.9889836,0.2807837198760055,5318.037468,30,188039.2919412955,12.853655012988284
1789161480,2026-09-11T21:18:00.000Z,2659.018734,9469.9889836,0.2807837198760055,5318.037468,30,188039.2919412955,12.853655012988284
1789161540,2026-09-11T21:19:00.000Z,2675.002565,9432.970149601,0.2835800943473937,5350.00513,30,186915.70862101213,12.930920602294918
1789161600,2026-09-11T21:20:00.000Z,2675.002565,9432.970149601,0.2835800943473937,5350.00513,30,186915.70862101213,12.930920602294918
1789161660,2026-09-11T21:21:00.000Z,2675.002565,9432.970149601,0.2835800943473937,5350.00513,30,186915.70862101213,12.930920602294918
1789161720,2026-09-11T21:22:00.000Z,2675.002565,9432.970149601,0.2835800943473937,5350.00513,30,186915.70862101213,12.930920602294918
1789161780,2026-09-11T21:23:00.000Z,2684.977174,9409.894550601,0.2853355220466858,5369.954348,30,186221.32241635214,12.979137706347657
1789161840,2026-09-11T21:24:00.000Z,2684.977174,9409.894550601,0.2853355220466858,5369.954348,30,186221.32241635214,12.979137706347657
1789161900,2026-09-11T21:25:00.000Z,2680.778076,9419.943352601,0.2845853712336597,5361.556152,30,186513.01444021505,12.95883933222656
1789161960,2026-09-11T21:26:00.000Z,2680.778076,9419.943352601,0.2845853712336597,5361.556152,30,186513.01444021505,12.95883933222656
1789162020,2026-09-11T21:27:00.000Z,2680.778076,9419.943352601,0.2845853712336597,5361.556152,30,186513.01444021505,12.95883933222656
1789162080,2026-09-11T21:28:00.000Z,2664.589895,9457.643352601,0.2817393081614984,5329.17979,30,187646.13681761335,12.88058591821289
1789162140,2026-09-11T21:29:00.000Z,2664.589895,9457.643352601,0.2817393081614984,5329.17979,30,187646.13681761335,12.88058591821289
1789162200,2026-09-11T21:30:00.000Z,2664.589895,9457.643352601,0.2817393081614984,5329.17979,30,187646.13681761335,12.88058591821289
1789162260,2026-09-11T21:31:00.000Z,2662.506775,9462.498471429,0.28137460555889693,5325.01355,30,187792.94937193164,12.870516148681638
1789162320,2026-09-11T21:32:00.000Z,2662.506775,9462.498471429,0.28137460555889693,5325.01355,30,187792.94937193164,12.870516148681638
